timestamp,sound_class,confidence,alert_type,thingspeak_status
2025-04-20 11:37:25,display_name,0.9209468364715576,HUMAN,Success
2025-04-20 11:37:26,display_name,0.9973884224891663,HUMAN,Success
2025-04-20 11:37:28,display_name,0.9936525225639343,HUMAN,Success
2025-04-20 11:37:29,display_name,0.9579764604568481,HUMAN,Success
2025-04-20 11:37:30,display_name,0.9912388920783997,HUMAN,Success
2025-04-20 11:37:31,display_name,0.9971092939376831,HUMAN,Success
2025-04-20 11:37:32,display_name,0.9780046343803406,HUMAN,Success
2025-04-20 11:37:33,display_name,0.968398928642273,HUMAN,Success
2025-04-20 11:37:34,display_name,0.9974607229232788,HUMAN,Success
2025-04-20 11:37:36,display_name,0.8713030219078064,HUMAN,Success
2025-04-20 11:37:37,display_name,0.9751665592193604,HUMAN,Success
2025-04-20 11:39:59,Crackle,0.21742579340934753,GUN,Success
2025-04-20 11:40:00,display_name,0.6313091516494751,HUMAN,Success
2025-04-20 11:40:01,Crackle,0.6074924468994141,CHAINSAW,Success
2025-04-20 11:40:02,Crackle,0.3416465222835541,GUN,Success
2025-04-20 11:40:05,Crackle,0.5158597826957703,CHAINSAW,Success
2025-04-20 11:40:06,Crackle,0.5388080477714539,CHAINSAW,Success
2025-04-20 11:40:14,Hi-hat,0.2573246359825134,NORMAL,Success
2025-04-20 11:40:16,Crackle,0.5282588601112366,CHAINSAW,Success
2025-04-20 11:40:17,Crackle,0.6423622965812683,CHAINSAW,Success
2025-04-20 11:40:21,Crackle,0.2215251624584198,GUN,Success
2025-04-20 11:40:22,Crackle,0.20469214022159576,GUN,Success
2025-04-20 11:40:23,Crackle,0.21154047548770905,GUN,Success
2025-04-20 11:40:24,Crackle,0.368963360786438,GUN,Success
2025-04-20 11:41:34,Crackle,0.297497421503067,GUN,Success
2025-04-20 11:43:53,Crackle,0.515724778175354,CHAINSAW,Success
2025-04-20 11:43:54,display_name,0.9814987778663635,HUMAN,Success
2025-04-20 11:43:55,display_name,0.7035359144210815,HUMAN,Success
2025-04-20 11:43:56,Crackle,0.21753931045532227,GUN,Success
2025-04-20 11:43:57,Crackle,0.5176408886909485,CHAINSAW,Success
2025-04-20 11:43:58,Crackle,0.2420019507408142,GUN,Success
2025-04-20 11:43:59,Crackle,0.3074834644794464,GUN,Success
2025-04-20 11:44:02,Pant,0.8545413613319397,HUMAN,Success
2025-04-20 11:44:03,Crackle,0.32882562279701233,GUN,Success
2025-04-20 11:44:04,Crackle,0.37519577145576477,GUN,Success
2025-04-20 11:44:05,Crackle,0.2557094395160675,GUN,Success
2025-04-20 11:44:11,Crackle,0.7479310035705566,CHAINSAW,Success
2025-04-20 11:44:12,Crackle,0.30066317319869995,GUN,Success
2025-04-20 11:44:13,Crackle,0.511263370513916,CHAINSAW,Success
2025-04-20 11:44:14,Crackle,0.2649288475513458,GUN,Success
2025-04-20 11:44:15,Whir,0.1911817193031311,NORMAL,Success
2025-04-20 11:44:57,display_name,0.7729367613792419,HUMAN,Success
2025-04-20 11:45:35,display_name,0.918895423412323,HUMAN,Success
2025-04-20 11:45:37,Crackle,0.3557521104812622,GUN,Success
2025-04-20 11:45:40,display_name,0.9854978919029236,HUMAN,Success
2025-04-20 11:45:41,display_name,0.9940759539604187,HUMAN,Success
2025-04-20 11:45:42,display_name,0.9804027080535889,HUMAN,Success
2025-04-20 12:29:38,display_name,0.8580692410469055,HUMAN,Success
2025-04-20 12:29:39,Crackle,0.6416475772857666,CHAINSAW,Success
2025-04-20 12:29:40,Crackle,0.264595091342926,GUN,Success
2025-04-20 12:29:41,Crackle,0.2404920756816864,GUN,Success
2025-04-20 12:29:42,display_name,0.7672966718673706,HUMAN,Success
2025-04-20 12:29:43,display_name,0.5221774578094482,HUMAN,Success
2025-04-20 12:29:44,display_name,0.8817382454872131,HUMAN,Success
2025-04-20 12:29:45,display_name,0.9042115807533264,HUMAN,Success
2025-04-20 12:29:46,Crackle,0.3311202824115753,GUN,Success
2025-04-20 12:29:47,Crackle,0.29621753096580505,GUN,Success
2025-04-20 12:29:48,Crackle,0.7055267095565796,CHAINSAW,Success
2025-04-20 12:29:49,Crackle,0.8758569359779358,CHAINSAW,Success
2025-04-20 12:29:50,Crackle,0.7773749232292175,CHAINSAW,Success
2025-04-20 12:29:51,Crackle,0.8256181478500366,CHAINSAW,Success
2025-04-20 12:29:52,Crackle,0.7940411567687988,CHAINSAW,Success
2025-04-20 12:29:53,Crackle,0.2957911193370819,GUN,Success
2025-04-20 12:29:55,display_name,0.5544172525405884,HUMAN,Success
2025-04-20 12:29:57,display_name,0.5519176721572876,HUMAN,Success
2025-04-20 12:29:57,display_name,0.3235540986061096,NORMAL,Success
2025-04-20 12:29:58,display_name,0.8847522735595703,HUMAN,Success
2025-04-20 12:29:59,display_name,0.8044933676719666,HUMAN,Success
